id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
20;Naruto;7.98;Pierrot;Action, Adventure, Fantasy;Martial Arts;Shounen;PG-13 - Teens 13 or older
467;Koukaku Kidoutai: Stand Alone Complex;8.43;Production I.G;Action, Award Winning, Sci-Fi;Adult Cast, Detective, Mecha, Military;Seinen;R - 17+ (violence & profanity)
132;GetBackers;7.58;Studio Deen;Action, Mystery, Supernatural;Super Power;Shounen;PG-13 - Teens 13 or older
277;Mahoromatic: Motto Utsukushii Mono;7.15;Gainax;Comedy, Drama, Romance, Sci-Fi, Ecchi;Military;Seinen;R+ - Mild Nudity
17;Hungry Heart: Wild Striker;7.55;Nippon Animation;Comedy, Slice of Life, Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
1685;Duel Masters;5.83;Studio Hibari;Action, Comedy, Fantasy;Strategy Game;Kids;PG-13 - Teens 13 or older
4068;Shin Megami Tensei Devil Children: Light & Dark;7.07;Actas;Action, Adventure, Fantasy, Sci-Fi, Supernatural;Mythology, Video Game;Kids;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
1712;Shin Seiki Den Mars;5.54;Plum;Sci-Fi;Mecha;Shounen;PG-13 - Teens 13 or older
