id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
6045;Kimi ni Todoke;8;Production I.G;Drama, Romance;School;Shoujo;PG-13 - Teens 13 or older
5958;Sora no Otoshimono;7.27;AIC ASTA;Comedy, Romance, Sci-Fi, Supernatural, Ecchi;Harem;Shounen;PG-13 - Teens 13 or older
6811;InuYasha: Kanketsu-hen;8.2;Sunrise;Action, Adventure, Fantasy, Romance;Historical, Mythology, Time Travel;Shounen;PG-13 - Teens 13 or older
6586;Yume-iro Pâtissière;7.84;Studio Hibari;Gourmet;School;Shoujo;G - All Ages
6203;Sasameki Koto;7.06;AIC;Comedy, Girls Love, Romance;School;Seinen;PG-13 - Teens 13 or older
7082;Shugo Chara! Party!;6.64;Satelight;Comedy;Mahou Shoujo, School;Shoujo;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
6712;Natsu no Arashi! Akinaichuu;7.28;Shaft;Comedy, Romance, Supernatural;Time Travel;Shounen;PG-13 - Teens 13 or older
6582;Tentai Senshi Sunred 2nd Season;7.84;AIC ASTA;Comedy;Parody, Super Power;Seinen;PG-13 - Teens 13 or older
7723;Hipira-kun;5.96;Sunrise;Comedy, Fantasy, Supernatural;Vampire;Kids;PG - Children
