id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
7054;Kaichou wa Maid-sama!;8.01;J.C.Staff;Comedy, Romance;School;Shoujo;PG-13 - Teens 13 or older
7593;Kiss x Sis (TV);6.62;feel.;Comedy, Romance, Ecchi;Harem, School;Seinen;PG-13 - Teens 13 or older
6956;Working!!;7.65;A-1 Pictures;Comedy;Romantic Subtext, Workplace;Seinen;PG-13 - Teens 13 or older
7817;B-gata H-kei;6.86;Hal Film Maker;Comedy, Romance, Ecchi;School;Seinen;R+ - Mild Nudity
6114;Rainbow: Nisha Rokubou no Shichinin;8.48;Madhouse;Drama, Suspense;Delinquents, Historical;Seinen;R - 17+ (violence & profanity)
6895;Hakuouki;7.37;Studio Deen;Action, Drama, Supernatural;Historical, Samurai;Josei;R - 17+ (violence & profanity)
7058;Uragiri wa Boku no Namae wo Shitteiru;7.21;J.C.Staff;Adventure, Boys Love, Drama, Fantasy;Reincarnation;Shoujo;R - 17+ (violence & profanity)
7588;Saraiya Goyou;7.78;Manglobe;Drama;Adult Cast, Historical, Samurai;Seinen;PG-13 - Teens 13 or older
7661;Giant Killing;7.54;Studio Deen;Drama, Sports;Team Sports;Seinen;PG-13 - Teens 13 or older
7655;Major S6;8.33;SynergySP;Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
7720;Ookiku Furikabutte: Natsu no Taikai-hen;7.98;A-1 Pictures;Sports;Team Sports;Seinen;PG-13 - Teens 13 or older
8217;Jewelpet Twinkle☆;7.44;Studio Comet;Fantasy;Anthropomorphic, School;Shoujo;PG - Children
8206;Hime Chen! Otogi Chikku Idol Lilpri;7;TMS Entertainment;Fantasy;Mahou Shoujo;Shoujo;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
8538;Gokujou!! Mecha Mote Iinchou Second Collection;6.26;Shogakukan Music & Digital Entertainment;Comedy, Romance;School;Shoujo;PG - Children
7793;Ring ni Kakero 1: Kage Dou-hen;6.39;Toei Animation;Action, Sports;Combat Sports;Shounen;PG-13 - Teens 13 or older
