id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
8074;Highschool of the Dead;7.08;Madhouse;Action, Horror, Supernatural, Ecchi;Gore, Survival;Shounen;R+ - Mild Nudity
7724;Shiki;7.74;Daume;Horror, Mystery, Supernatural, Suspense;Gore, Psychological, Vampire;Shounen;R - 17+ (violence & profanity)
6707;Kuroshitsuji II;7.15;A-1 Pictures;Action, Comedy, Supernatural;Historical, Mythology;Shounen;R - 17+ (violence & profanity)
8675;Seitokai Yakuindomo;7.56;GoHands;Comedy;Gag Humor, School;Shounen;R - 17+ (violence & profanity)
7592;Nurarihyon no Mago;7.62;Studio Deen;Action, Supernatural;Mythology;Shounen;PG-13 - Teens 13 or older
5277;Sekirei: Pure Engagement;7.29;Seven Arcs;Action, Comedy, Ecchi;Harem, Super Power;Seinen;R+ - Mild Nudity
7627;Mitsudomoe;7.54;Bridge;Comedy, Slice of Life;Gag Humor, School;Shounen;PG-13 - Teens 13 or older
8961;Tono to Issho: Ippunkan Gekijou;6.18;Gathering;Comedy;Samurai;Seinen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
