id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
9919;Ao no Exorcist;7.5;A-1 Pictures;Action, Fantasy;Mythology, School;Shounen;PG-13 - Teens 13 or older
6880;Deadman Wonderland;7.16;Manglobe;Action, Horror, Sci-Fi, Supernatural;Gore, High Stakes Game, Survival;Shounen;R - 17+ (violence & profanity)
10165;Nichijou;8.46;Kyoto Animation;Comedy;Gag Humor, School;Shounen;PG-13 - Teens 13 or older
9969;Gintama';9.04;Sunrise;Action, Comedy, Sci-Fi;Gag Humor, Historical, Parody, Samurai;Shounen;PG-13 - Teens 13 or older
10080;Kami nomi zo Shiru Sekai II;7.88;Manglobe;Comedy, Romance, Supernatural;Harem, Otaku Culture;Shounen;PG-13 - Teens 13 or older
9863;SKET Dance;8.22;Tatsunoko Production;Comedy;School;Shounen;PG-13 - Teens 13 or older
10271;Gyakkyou Burai Kaiji: Hakairoku-hen;8.25;Madhouse;Suspense;Adult Cast, High Stakes Game, Psychological, Strategy Game;Seinen;R - 17+ (violence & profanity)
9736;Astarotte no Omocha!;6.51;Diomedéa;Comedy, Fantasy, Romance, Ecchi;Isekai, Mythology;Seinen;PG-13 - Teens 13 or older
10073;Seikon no Qwaser II;6.32;Hoods Entertainment;Action, Supernatural, Ecchi;Super Power;Seinen;R+ - Mild Nudity
10015;Yu☆Gi☆Oh! Zexal;6.38;Gallop;Action, Fantasy;Strategy Game;Shounen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
10257;Pretty Rhythm: Aurora Dream;7.4;Tatsunoko Production;Sports;Idols (Female), Music;Shoujo;PG - Children
7081;Danball Senki;6.98;OLM;Action;Mecha;Kids;G - All Ages
10338;Honto ni Atta! Reibai Sensei;6.53;DLE;Comedy, Supernatural;School;Shounen;PG-13 - Teens 13 or older
10359;Jewelpet Sunshine;6.76;Studio Comet;Fantasy;Anthropomorphic;Shoujo;PG - Children
10324;Tono to Issho: Gantai no Yabou;6.41;Gathering;Comedy;Historical, Parody, Samurai;Seinen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
