id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
11013;Inu x Boku SS;7.39;David Production;Comedy, Drama, Romance, Supernatural;Mythology, School;Shounen;PG-13 - Teens 13 or older
11665;Natsume Yuujinchou Shi;8.65;Brain's Base;Drama, Slice of Life, Supernatural;Iyashikei, Mythology;Shoujo;PG-13 - Teens 13 or older
11241;Brave 10;6.75;TMS Entertainment;Action, Adventure;Historical, Samurai, Super Power;Seinen;R - 17+ (violence & profanity)
11697;Area no Kishi;7.17;Shin-Ei Animation;Comedy, Sports;School, Team Sports;Shounen;PG-13 - Teens 13 or older
11371;Shin Tennis no Ouji-sama;7.54;Production I.G;Sports;School;Shounen;PG-13 - Teens 13 or older
11491;Recorder to Randoseru Do♪;6.64;Seven;Comedy, Slice of Life;School;Seinen;PG-13 - Teens 13 or older
11769;Gokujo.: Gokurakuin Joshikou Ryou Monogatari;6.16;LMD;Comedy, Girls Love, Ecchi;School;Seinen;PG-13 - Teens 13 or older
12321;Thermae Romae;6.96;Gonzo;Comedy;Historical, Time Travel;Seinen;PG-13 - Teens 13 or older
12021;Poyopoyo Kansatsu Nikki;7.65;Studio Deen;Comedy, Slice of Life;Pets;Seinen;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
12651;Danball Senki W;7.03;OLM;Action;Mecha;Kids;G - All Ages
