id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
22319;Tokyo Ghoul;7.79;Pierrot;Action, Fantasy, Horror;Gore, Psychological;Seinen;R - 17+ (violence & profanity)
22199;Akame ga Kill!;7.47;White Fox;Action, Fantasy;Gore, Super Power;Shounen;R - 17+ (violence & profanity)
21995;Ao Haru Ride;7.64;Production I.G;Romance;School;Shoujo;PG-13 - Teens 13 or older
22145;Kuroshitsuji: Book of Circus;8.07;A-1 Pictures;Action, Comedy, Mystery, Supernatural;Historical, Mythology;Shounen;R - 17+ (violence & profanity)
21353;Tokyo ESP;6.55;Xebec;Action, Comedy, Sci-Fi, Supernatural;Super Power;Shounen;R - 17+ (violence & profanity)
20709;Sabage-bu!;7.35;Pierrot Plus;Action, Comedy;CGDCT, School;Shoujo;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
23945;Majimoji Rurumo;6.84;J.C.Staff;Comedy, Fantasy, Ecchi;School;Shounen;PG-13 - Teens 13 or older
24135;Nobunaga Concerto;7.55;Fuji TV;Comedy, Romance;Historical, Time Travel;Shounen;PG-13 - Teens 13 or older
23135;PriPara;7.49;Tatsunoko Production;Slice of Life;Idols (Female), Music, School;Shoujo;PG - Children
24417;Maido! Urayasu Tekkin Kazoku;6.12;Studio Deen;Comedy;Gag Humor;Shounen;PG-13 - Teens 13 or older
