id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
20507;Noragami;7.96;Bones;Action, Fantasy;Mythology;Shounen;PG-13 - Teens 13 or older
18897;Nisekoi;7.58;Shaft;Comedy, Romance;Harem, School;Shounen;PG-13 - Teens 13 or older
20031;D-Frag!;7.52;Brain's Base;Comedy;School, Strategy Game;Seinen;PG-13 - Teens 13 or older
21085;Witch Craft Works;7.01;J.C.Staff;Action, Fantasy, Supernatural;School;Seinen;PG-13 - Teens 13 or older
20047;Sakura Trick;6.97;Studio Deen;Comedy, Girls Love, Romance;School;Seinen;PG-13 - Teens 13 or older
20847;Seitokai Yakuindomo*;7.69;GoHands;Comedy;Gag Humor, School;Shounen;R - 17+ (violence & profanity)
18139;Tonari no Seki-kun;7.54;Shin-Ei Animation;Comedy;School;Seinen;G - All Ages
20457;Inari, Konkon, Koi Iroha.;7.2;Production IMS;Comedy, Romance, Supernatural;Mythology, School;Seinen;PG-13 - Teens 13 or older
15565;Maken-Ki! Two;6.14;Xebec;Action, Ecchi;Harem, Martial Arts, School, Super Power;Shounen;R+ - Mild Nudity
19363;Gin no Saji 2nd Season;8.28;A-1 Pictures;Comedy;School;Shounen;PG-13 - Teens 13 or older
20431;Hoozuki no Reitetsu;7.78;Wit Studio;Comedy, Fantasy, Supernatural;Mythology;Seinen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
16123;Saki Zenkoku-hen;7.41;Studio Gokumi;Slice of Life;School, Strategy Game;Seinen;PG-13 - Teens 13 or older
19157;Youkai Watch;6.56;OLM;Comedy, Supernatural;Mythology;Kids;G - All Ages
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
